,x,y,target
0,-7.419809341430664,14.58961009979248,0.0
1,-34.446311950683594,12.137775421142578,0.0
2,-36.73005676269531,28.501127243041992,0.0
3,-34.543270111083984,10.079627990722656,0.0
4,-34.08391189575195,10.467691421508789,0.0
5,-28.33792495727539,26.239612579345703,0.0
6,-32.45649337768555,6.512075901031494,0.0
7,-6.102614879608154,0.38214901089668274,0.0
8,45.9599609375,5.769320011138916,0.0
9,8.522459983825684,-13.458133697509766,0.0
10,-35.550289154052734,23.04448127746582,0.0
11,-37.12406921386719,19.434751510620117,0.0
12,-36.29344177246094,19.61666488647461,0.0
13,-35.607234954833984,17.5871524810791,0.0
14,-27.134204864501953,19.63327980041504,0.0
15,11.647686004638672,-48.33247375488281,0.0
16,-17.56793975830078,26.462085723876953,0.0
17,-20.883811950683594,28.807235717773438,0.0
18,-17.788345336914062,31.741592407226562,0.0
19,-19.3309268951416,26.32154083251953,0.0
20,-33.485755920410156,26.333763122558594,0.0
21,-18.681489944458008,30.66884422302246,0.0
22,-32.411407470703125,25.713565826416016,0.0
23,-19.804920196533203,23.91871452331543,0.0
24,-21.066940307617188,31.318716049194336,0.0
25,-19.12694549560547,24.555757522583008,0.0
26,-33.02149963378906,17.3752498626709,0.0
27,-20.668819427490234,30.673864364624023,0.0
28,-16.6387996673584,-3.7625386714935303,0.0
29,-26.072582244873047,11.595510482788086,0.0
30,-21.238325119018555,30.25162696838379,0.0
31,-28.332321166992188,8.530121803283691,0.0
32,-43.51742935180664,5.328912258148193,0.0
33,-31.47745704650879,24.740991592407227,0.0
34,-25.177770614624023,11.149373054504395,0.0
35,-24.837493896484375,10.908001899719238,0.0
36,-28.975135803222656,10.311513900756836,0.0
37,-29.35986328125,12.328509330749512,0.0
38,-31.741844177246094,9.292799949645996,0.0
39,-30.720396041870117,-6.138814449310303,0.0
40,-27.057235717773438,6.2830095291137695,0.0
41,-39.4549446105957,0.45467349886894226,0.0
42,-41.95138931274414,0.6704338192939758,0.0
43,-42.90911102294922,4.9308342933654785,0.0
44,-23.623397827148438,10.708090782165527,0.0
45,-28.534648895263672,12.11608600616455,0.0
46,-8.081714630126953,-6.201425552368164,0.0
47,-29.158161163330078,7.494529724121094,0.0
48,-39.1983757019043,0.030383629724383354,0.0
49,-28.316720962524414,4.718585014343262,0.0
50,-21.25959014892578,11.525618553161621,0.0
51,-39.458251953125,5.676278114318848,0.0
52,-19.476736068725586,5.6219892501831055,0.0
53,-29.448768615722656,26.752056121826172,0.0
